TableId,TableName,ColumnName,ColumnType,IsMetric,IsCurrency,IsCommon,IsCommonMetric,IsCommonField
6f2ce863-ece8-442c-b5fb-bd59075914a9,campaign,templatetype,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,brand4,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,brand5,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,brand6,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,briefdetail,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actualctc,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actualctc_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,buymethod,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,buysystemfilter,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,channel,String,FALSE,TRUE,TRUE,FALSE,TRUE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,channelsubtype,String,FALSE,TRUE,TRUE,FALSE,TRUE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,channeltype,String,FALSE,TRUE,TRUE,FALSE,TRUE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,data_state,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,effective_date,Date,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,localchannel,String,FALSE,TRUE,TRUE,FALSE,TRUE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,media_brief_id,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mediaauthheader,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mediatype1,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mediatype2,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mediatype3,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mediatype4,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mixtypeid,LongInteger,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mygrid_channel,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mygrid_flightenddate,Date,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,mygrid_flightstartdate,Date,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,omniguid,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,plantype,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,predictivetrigger,String,FALSE,FALSE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,subchannel,String,FALSE,FALSE,TRUE,FALSE,TRUE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,system_campaignid,String,FALSE,FALSE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,system_mediaplanid,String,FALSE,FALSE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actualnetmedia,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actualnetmedia_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actuals,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,actuals_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,addedvalue,Decimal,TRUE,TRUE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,addedvalue_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,admissions,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adserving,Decimal,TRUE,TRUE,TRUE,TRUE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adserving_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adverificationcost,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adverificationcost_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adsize,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,adsizemix,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,asbof,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,asbof_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,briefedctc,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,briefedctc,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,audience,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,brand4,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,brand5,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,brand6,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,briefdetail,String,FALSE,TRUE,FALSE,FALSE,FALSE
3e185d41-9e21-44dc-9532-cd4bda1b5a0d,media_briefs,briefedctc_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,briefedctc_local,Decimal,TRUE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,buyingplatform,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,buymethod,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,buysystemfilter,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,buytype,String,FALSE,TRUE,FALSE,FALSE,FALSE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,channel,String,FALSE,TRUE,TRUE,FALSE,TRUE
f0867476-5d91-4fbf-8ebf-c5308309f4ea,media_plans,channelsubtype,String,FALSE,TRUE,TRUE,FALSE,TRUE
